Time (s), Cell Name, Value
240.162527, C00, 9.346534
327.24455, C00, 11.78503
332.74026, C00, 13.27212
365.964325, C00, 12.98204
557.165072, C00, 9.78409
575.700603, C00, 9.451388
575.900447, C00, 16.21188
631.357157, C00, 9.35868
675.122993, C00, 10.69283
810.267498, C00, 8.521343
816.962272, C00, 10.6547
817.212077, C00, 13.27735
866.473623, C00, 17.99612
929.124717, C00, 12.83553
929.4744439999999, C00, 9.607496
42.117123, C01, 15.58082
52.509011, C01, 23.10715
55.806437, C01, 20.61687
64.79941700000001, C01, 23.94587
65.299026, C01, 20.70889
105.267827, C01, 23.35541
107.91576, C01, 38.28142
177.561394, C01, 32.86066
189.002463, C01, 25.52961
258.448253, C01, 33.49036
305.661398, C01, 19.37706
306.061086, C01, 32.983
317.202389, C01, 42.59835
324.996305, C01, 20.51433
339.934644, C01, 18.05732
351.275791, C01, 53.86562
385.099388, C01, 19.63465
385.549037, C01, 19.1243
485.021388, C01, 16.84605
485.520998, C01, 16.63964
486.520218, C01, 21.71656
500.459337, C01, 26.728
525.789564, C01, 38.59977
543.925407, C01, 23.9514
561.861406, C01, 17.97221
581.6459620000001, C01, 20.40239
639.151073, C01, 15.58489
656.187774, C01, 29.57412
670.426659, C01, 16.13532
675.023071, C01, 15.71213
696.256496, C01, 31.88192
705.4493199999999, C01, 22.42056
724.034812, C01, 22.31345
736.92475, C01, 34.80293
769.199556, C01, 17.913
778.092614, C01, 17.58482
795.429081, C01, 23.52102
810.36742, C01, 34.75167
835.198037, C01, 19.12355
846.9388719999999, C01, 34.40724
927.176238, C01, 16.21605
14.788456, C02, 27.92768
54.057802, C02, 33.14883
126.001642, C02, 29.60979
184.705817, C02, 22.07626
522.442177, C02, 21.85492
652.440699, C02, 20.98729
887.4572429999999, C02, 24.33303
92.277967, C03, 50.81103
93.077343, C03, 13.54822
93.42707, C03, 19.66059
95.675315, C03, 15.52686
96.224886, C03, 34.88681
125.951681, C03, 9.252667
194.048524, C03, 32.38956
326.694979, C03, 43.76886
438.607619, C03, 50.24268
454.6451, C03, 36.90095
566.307935, C03, 32.74612
566.8575059999999, C03, 20.6858
567.257194, C03, 13.42155
643.647563, C03, 55.76587
686.713945, C03, 44.1971
823.607085, C03, 21.61645
864.974793, C03, 20.32685
865.32452, C03, 18.19932
14.838417, C04, 64.89211
31.075742, C04, 32.59372
41.317747, C04, 51.86963
46.014081, C04, 23.89548
53.508231, C04, 80.49564
94.776017, C04, 45.66816
113.061743, C04, 14.67391
134.445051, C04, 61.01955
136.743257, C04, 19.28581
139.091424, C04, 19.83206
187.903321, C04, 20.04901
204.390451, C04, 44.0527
209.736278, C04, 15.5883
236.015764, C04, 30.56297
239.912722, C04, 52.77172
243.409992, C04, 41.32531
248.206248, C04, 18.61434
248.506014, C04, 30.54796
261.046225, C04, 19.20242
265.642636, C04, 33.94637
271.587996, C04, 72.29961
283.27887, C04, 37.16133
288.075126, C04, 44.93093
292.421733, C04, 31.48179
293.370992, C04, 39.19578
304.162568, C04, 65.06853
335.987725, C04, 56.29819
353.474075, C04, 35.8756
397.289872, C04, 50.70041
402.136089, C04, 48.82574
405.483476, C04, 32.8899
407.431955, C04, 19.94035
447.550638, C04, 75.04216
486.070569, C04, 26.92779
497.861365, C04, 74.60536
513.848885, C04, 47.06148
516.846545, C04, 14.34417
521.742722, C04, 79.72562
525.339915, C04, 23.79603
540.977708, C04, 32.37284
553.717763, C04, 56.69503
558.613941, C04, 48.49054
592.487499, C04, 45.02128
597.333716, C04, 75.41249
630.757625, C04, 41.73883
663.582002, C04, 51.44169
715.44152, C04, 41.71503
757.40876, C04, 58.14096
786.4860619999999, C04, 19.47036
789.733527, C04, 88.87122
806.670306, C04, 38.64835
837.84597, C04, 35.36887
866.473623, C04, 23.04733
868.222258, C04, 44.86304
888.456463, C04, 55.7707
890.404942, C04, 17.97192
899.447883, C04, 66.69855
12.98986, C05, 34.82166
25.97972, C05, 12.24574
28.277926, C05, 42.0279
74.491851, C05, 24.31568
99.822078, C05, 34.10951
118.657375, C05, 34.64205
167.719077, C05, 12.28275
182.957182, C05, 23.00134
195.947042, C05, 25.7129
202.641816, C05, 27.22673
255.500554, C05, 39.83369
261.096186, C05, 12.96616
268.640297, C05, 22.91921
287.225789, C05, 19.34411
291.27263, C05, 34.18451
293.121187, C05, 12.47546
300.515415, C05, 13.50875
305.911203, C05, 15.7151
327.993965, C05, 20.07069
333.889363, C05, 25.33371
359.669239, C05, 15.61737
363.71608, C05, 18.36115
365.015066, C05, 32.78531
393.642719, C05, 40.5653
400.937025, C05, 18.35152
418.473336, C05, 24.92526
421.67084, C05, 17.63333
425.867564, C05, 15.4019
438.757502, C05, 30.62547
454.794983, C05, 23.57919
476.178291, C05, 25.86527
496.512418, C05, 15.5875
506.654501, C05, 22.34138
531.635001, C05, 32.05292
538.8793460000001, C05, 29.02361
551.06983, C05, 29.10671
557.3149550000001, C05, 12.41137
561.56164, C05, 12.65393
570.854386, C05, 27.0547
573.05267, C05, 40.48774
576.849706, C05, 19.01213
587.241594, C05, 14.95538
606.976189, C05, 28.53692
625.1619930000001, C05, 34.03368
629.208834, C05, 19.9857
641.948889, C05, 21.24215
647.194794, C05, 16.219
651.191674, C05, 27.84051
660.334537, C05, 23.22517
677.321277, C05, 28.57335
685.714725, C05, 15.89619
695.207315, C05, 31.55907
709.546122, C05, 22.60228
727.881809, C05, 21.97082
749.415, C05, 23.18599
783.688246, C05, 28.54388
788.534463, C05, 20.27217
793.080914, C05, 22.53779
803.922451, C05, 27.58994
824.3565, C05, 27.46617
852.0848549999999, C05, 15.94421
860.82803, C05, 26.68797
880.862391, C05, 25.1559
893.202758, C05, 12.22542
895.550925, C05, 15.49897
905.393242, C05, 16.86724
916.484584, C05, 25.38323
45.664354, C06, 8.604485
90.729176, C06, 7.340661
130.198366, C06, 8.844862
137.842399, C06, 7.220676
198.84478, C06, 16.14711
201.093025, C06, 93.7657
202.092245, C06, 14.81004
262.445133, C06, 12.00125
266.79174, C06, 122.8104
296.718379, C06, 8.922408
397.139989, C06, 11.72399
399.038507, C06, 10.13926
495.413276, C06, 9.123611
508.10337, C06, 8.774225
554.167412, C06, 7.508386
584.193973, C06, 14.75716
593.3368359999999, C06, 77.33455
595.385237, C06, 20.55921
631.357157, C06, 8.168887
664.1815340000001, C06, 120.4042
716.790467, C06, 127.7192
753.012192, C06, 11.11084
787.285438, C06, 110.0798
840.493903, C06, 11.04747
923.129397, C06, 106.2159
926.426823, C06, 53.29734
928.27538, C06, 7.749702
930.423703, C06, 10.8781
4.146763, C07, 12.69612
13.839197, C07, 9.383422
14.089002, C07, 20.85503
14.938339, C07, 10.5425
15.288066, C07, 11.23621
24.730695, C07, 12.36662
25.080422, C07, 12.36616
29.776756, C07, 16.45534
33.623753, C07, 33.87275
38.719775, C07, 9.615995
54.307607, C07, 11.4606
58.304487, C07, 11.89334
61.402069, C07, 17.41914
78.089043, C07, 10.44892
78.338848, C07, 14.57751
81.38646900000001, C07, 8.885465
81.636274, C07, 12.09277
83.834558, C07, 15.32506
86.832218, C07, 9.377905
119.956361, C07, 10.11216
120.306088, C07, 9.861269
142.688616, C07, 23.18316
155.628515, C07, 11.7237
156.278008, C07, 11.97776
168.418531, C07, 20.73173
230.370171, C07, 10.35161
253.102426, C07, 20.67907
254.501334, C07, 22.67966
261.146146, C07, 9.987835
353.773841, C07, 15.83383
370.510776, C07, 22.14926
378.554497, C07, 8.801481
384.649739, C07, 28.02253
392.443655, C07, 20.03502
394.791822, C07, 11.44887
404.734061, C07, 13.12215
405.783242, C07, 8.513618
406.68254, C07, 9.025795
419.322673, C07, 17.69343
437.958126, C07, 25.17616
449.848844, C07, 10.54141
453.595919, C07, 20.7454
503.556919, C07, 10.14671
505.455437, C07, 33.49207
530.685742, C07, 13.36413
549.9207270000001, C07, 11.50591
605.577281, C07, 21.70149
624.712344, C07, 9.192799
642.798226, C07, 14.72823
650.292376, C07, 29.89944
661.083952, C07, 23.21914
676.072252, C07, 30.1532
765.40252, C07, 14.64699
824.1066949999999, C07, 17.85615
836.84675, C07, 9.689061
845.34012, C07, 18.24838
846.039574, C07, 13.37624
861.877211, C07, 13.36341
914.486144, C07, 17.41664
915.835091, C07, 23.19163
935.020115, C07, 20.07465
