Time (s), Cell Name, Value
63.150704, C000, 16.5171
237.914282, C000, 37.6621
315.054066, C000, 25.05508
399.638039, C000, 28.49308
599.681883, C000, 27.91879
4.49649, C002, 5.59089
11.890718, C002, 4.200011
21.283386, C002, 3.943322
23.231865, C002, 4.390421
39.868878, C002, 5.163392
53.258426, C002, 4.347114
65.14914400000001, C002, 4.29816
72.643294, C002, 3.935542
113.961041, C002, 5.233345
119.256907, C002, 5.385033
194.598095, C002, 3.951451
219.32879, C002, 3.964631
229.470873, C002, 5.148677
242.410772, C002, 4.783385
254.701178, C002, 4.501407
261.595796, C002, 4.879276
265.592675, C002, 3.962196
270.988464, C002, 4.958023
287.425633, C002, 4.526792
294.070446, C002, 4.174733
294.620017, C002, 4.141258
297.76756, C002, 3.923508
317.052506, C002, 4.606733
341.983045, C002, 4.17593
353.424114, C002, 4.383135
356.821462, C002, 4.308208
360.018966, C002, 4.91742
363.71608, C002, 6.507899
380.053327, C002, 4.533567
417.773882, C002, 4.376286
451.847284, C002, 3.993651
493.814524, C002, 4.591086
520.14397, C002, 5.117894
529.836405, C002, 4.200336
535.382076, C002, 4.657742
551.469518, C002, 4.312747
555.016749, C002, 5.077413
556.665462, C002, 4.897951
557.115111, C002, 5.338448
569.205673, C002, 4.105134
573.902007, C002, 4.650986
589.489839, C002, 4.453115
600.631142, C002, 4.672698
605.2275540000001, C002, 4.189393
633.2057139999999, C002, 5.942884
649.642883, C002, 4.590223
662.382938, C002, 4.521103
662.6827039999999, C002, 7.024391
664.631183, C002, 4.855567
665.380598, C002, 5.390869
678.9699900000001, C002, 4.671649
687.663204, C002, 4.364937
689.361878, C002, 4.155667
698.0550919999999, C002, 4.198182
698.704585, C002, 4.406399
701.7022449999999, C002, 4.477391
706.8482279999999, C002, 4.707305
712.244016, C002, 4.2712
715.8412080000001, C002, 3.971618
735.026232, C002, 4.521639
739.172995, C002, 4.110586
752.812348, C002, 4.110464
763.803768, C002, 4.959208
792.531343, C002, 4.118177
794.979432, C002, 4.640985
805.920891, C002, 4.259491
838.84519, C002, 4.228054
840.044254, C002, 4.346333
844.740588, C002, 5.411871
863.925612, C002, 4.356794
865.624286, C002, 4.169944
873.668007, C002, 4.753677
884.059895, C002, 4.727445
897.8491310000001, C002, 6.207323
26.079642, C003, 5.302264
26.879018, C003, 5.149257
69.94540000000001, C003, 6.304604
289.673878, C003, 5.322127
297.367872, C003, 5.95352
355.672359, C003, 5.163702
456.093969, C003, 5.406607
555.616281, C003, 7.806118
719.538322, C003, 6.017236
793.680446, C003, 5.181931
273.586436, C004, 9.49955
370.360893, C004, 11.8762
371.160269, C004, 10.16293
466.236052, C004, 9.264172
466.585779, C004, 9.432236
466.935506, C004, 9.94701
467.435116, C004, 9.632175
531.535079, C004, 9.117195
600.03161, C004, 11.39817
816.36274, C004, 9.907782
10.49181, C006, 21.78911
23.881358, C006, 15.65626
63.850158, C006, 22.07001
179.959522, C006, 17.1375
272.986904, C006, 19.04962
304.662178, C006, 14.58147
341.933084, C006, 20.2852
396.340613, C006, 19.47285
551.219713, C006, 29.09954
599.482039, C006, 18.49155
746.017652, C006, 25.20016
767.550843, C006, 15.55597
768.200336, C006, 24.41451
832.600065, C006, 24.44874
839.3448, C006, 15.0094
843.141836, C006, 16.53002
191.250708, C007, 14.72021
255.700398, C007, 19.65597
517.895725, C007, 15.56595
524.490578, C007, 12.87737
539.029229, C007, 19.33645
757.059033, C007, 15.36841
762.205016, C007, 13.28421
773.795968, C007, 24.80673
775.994252, C007, 16.59798
315.703559, C008, 18.50586
380.053327, C008, 15.73629
874.617266, C008, 17.61311
4.846217, C010, 9.082989
206.33893, C011, 9.651419
619.2665950000001, C011, 9.855789
625.261915, C011, 12.19816
643.297836, C011, 12.63113
182.057884, C013, 6.885026
285.726959, C013, 6.305959
288.324931, C013, 7.880307
619.316556, C013, 8.127495
625.761525, C013, 6.330615
716.4907009999999, C013, 6.433045
65.099183, C014, 12.04439
174.014163, C014, 24.49668
180.509093, C014, 13.95136
289.923683, C014, 14.48495
297.667638, C014, 17.23623
317.402233, C014, 12.18313
610.873147, C014, 16.27603
760.40642, C014, 19.75035
796.7780279999999, C014, 16.41853
221.527074, C017, 16.38917
222.076645, C017, 16.57253
