Time (s), Cell Name, Value
1274.455489, C00, 10.96327
2.148323, C01, 6.557548
51.509804, C01, 5.787236
138.591851, C01, 5.835258
744.01941, C01, 7.492003
1275.704514, C01, 6.502218
1740.541782, C01, 7.779661
3.097582, C03, 4.814693
97.773703, C03, 6.54404
123.653508, C03, 4.955691
230.170388, C03, 5.828878
231.819101, C03, 9.785892
254.151674, C03, 5.036555
356.621713, C03, 5.16627
364.265748, C03, 4.959885
487.069919, C03, 5.36231
584.24409, C03, 4.780162
619.416643, C03, 5.028948
619.816331, C03, 5.563733
620.715629, C03, 4.875387
720.737578, C03, 6.111848
755.5604039999999, C03, 6.155561
756.4097420000001, C03, 5.578981
758.857831, C03, 7.304657
767.900775, C03, 5.11415
769.249722, C03, 5.52072
778.492509, C03, 9.560229
784.987441, C03, 6.828806
914.786154, C03, 5.295092
915.235803, C03, 5.069894
916.784594, C03, 5.247978
1020.753463, C03, 5.155453
1030.545822, C03, 4.912384
1031.145354, C03, 5.022042
1035.39204, C03, 5.334112
1052.178941, C03, 6.659753
1112.481884, C03, 5.02159
1132.166523, C03, 5.008525
1294.489855, C03, 5.264026
1488.588392, C03, 5.343554
1804.242075, C03, 5.704532
1850.955622, C03, 4.818032
1890.924433, C03, 4.795336
1955.124335, C03, 5.157451
2022.821508, C03, 4.761571
2028.81683, C03, 4.9757
306.460855, C04, 8.572264
357.620933, C04, 9.847062
757.508884, C04, 9.213089
761.4558039999999, C04, 10.82683
763.054556, C04, 10.643
1050.979876, C04, 10.83676
1487.789016, C04, 9.677551
1491.735936, C04, 14.42723
1493.484571, C04, 11.60641
642.798397, C05, 12.45271
909.290442, C05, 11.18924
1052.12898, C05, 12.24195
1105.037693, C05, 11.03434
1195.1174, C05, 10.52952
1492.535312, C05, 10.42128
1525.909269, C05, 11.64208
1748.435623, C05, 10.64382
7.244346, C06, 5.37789
14.788459, C06, 5.69907
51.509804, C06, 5.82297
63.750253, C06, 5.89357
102.170272, C06, 6.799815
149.933001, C06, 5.366887
187.403761, C06, 5.333024
191.250759, C06, 5.149613
192.499784, C06, 5.879564
193.648887, C06, 5.813214
226.223468, C06, 5.606912
254.101713, C06, 8.787805
254.951051, C06, 5.556776
291.722356, C06, 5.111288
298.666937, C06, 5.432419
321.94877, C06, 6.390901
329.692727, C06, 5.189717
340.134578, C06, 5.368467
438.607736, C06, 5.119967
632.256623, C06, 5.100303
687.213738, C06, 5.545793
758.5580650000001, C06, 6.666104
760.606467, C06, 6.127539
761.4558039999999, C06, 12.55963
762.055336, C06, 7.264653
762.455024, C06, 10.16496
862.2771289999999, C06, 5.875038
895.601125, C06, 5.36162
908.491066, C06, 8.045052
936.1694680000001, C06, 5.386094
1018.755023, C06, 5.454986
1033.243717, C06, 5.42967
1048.831553, C06, 5.154794
1051.479486, C06, 5.744111
1053.427966, C06, 6.371575
1056.225783, C06, 5.728234
1206.358628, C06, 5.216177
1394.661687, C06, 5.625875
1488.48847, C06, 6.404
1491.186365, C06, 5.187275
1528.107554, C06, 5.944899
1540.348002, C06, 6.041322
1747.536324, C06, 6.53927
1771.367728, C06, 5.435278
1936.438916, C06, 5.309025
1962.76837, C06, 5.10655
