Time (s), Cell Name, Value
30.326336, C000, 13.07071
335.837942, C000, 13.02621
459.991064, C000, 11.93483
516.147245, C000, 11.23106
539.878727, C000, 12.65424
608.275356, C000, 13.16841
693.658731, C000, 18.01091
786.086609, C000, 13.27291
1057.724647, C000, 12.48845
1138.511608, C000, 13.5496
1395.511069, C000, 12.65758
1496.98189, C000, 11.13476
852.634681, C001, 9.764806
1159.745039, C001, 8.71295
202.791759, C002, 8.010777
862.576923, C002, 8.378065
929.124994, C002, 7.924406
248.356205, C003, 11.56603
981.434177, C003, 11.18621
103.4193, C004, 5.996592
140.840101, C004, 5.784085
250.354645, C004, 6.040192
451.197925, C004, 6.597015
686.464345, C004, 6.285289
726.782884, C004, 6.109325
843.591737, C004, 5.873828
1283.048824, C004, 5.775245
1387.367424, C004, 6.024902
1625.031972, C004, 5.786928
2.298206, C005, 5.653102
4.746296, C005, 4.419999
11.84076, C005, 4.372874
138.84166, C005, 4.666116
146.086007, C005, 5.808064
160.674624, C005, 4.735033
174.014215, C005, 4.574213
207.588017, C005, 5.277674
210.885444, C005, 4.767461
232.718407, C005, 5.270003
244.509207, C005, 4.533343
254.001799, C005, 4.36983
256.100162, C005, 4.58907
256.300006, C005, 5.104614
287.725485, C005, 4.517295
289.224315, C005, 5.607703
318.50147, C005, 4.72471
335.438254, C005, 4.270476
354.773167, C005, 4.318156
388.89654, C005, 5.468932
402.485936, C005, 4.865949
491.466504, C005, 4.497303
499.510227, C005, 5.096522
636.50333, C005, 4.330322
681.917893, C005, 5.005365
713.393332, C005, 4.44018
839.544895, C005, 4.67953
906.992265, C005, 4.312803
912.937626, C005, 4.258029
917.08439, C005, 5.101116
933.621486, C005, 4.370116
1046.933068, C005, 4.322744
1073.662211, C005, 5.749102
1074.461587, C005, 4.968319
1078.758234, C005, 4.284601
1083.604453, C005, 4.274005
1103.438976, C005, 6.853803
1126.820731, C005, 4.779562
1152.850419, C005, 4.916892
1164.741141, C005, 4.66574
1278.802138, C005, 4.474557
1280.600735, C005, 4.294335
1482.792962, C005, 4.561747
1635.523785, C005, 4.94658
1658.156125, C005, 4.31131
457.542974, C006, 6.761431
576.250346, C006, 6.453049
1074.11186, C006, 6.580224
1092.647396, C006, 6.391419
1114.97997, C006, 6.159615
1183.126794, C006, 5.659581
1353.493855, C006, 6.252497
1616.738443, C006, 5.816093
1625.681465, C006, 6.134786
1647.214662, C006, 5.457759
482.573443, C007, 7.883438
495.363463, C007, 7.139266
771.647875, C007, 8.495933
923.529361, C007, 7.19098
1155.498353, C007, 7.517357
1286.745939, C007, 7.103981
1388.616449, C007, 7.254277
317.0526, C008, 7.360754
808.569065, C008, 8.640991
840.8938419999999, C008, 7.033942
842.842322, C008, 7.33649
1072.812873, C008, 7.428805
1371.529782, C008, 7.211425
771.6978360000001, C009, 6.817692
1059.573204, C009, 6.235851
1089.000242, C009, 6.586139
1302.183893, C009, 6.65835
1369.381458, C009, 6.510055
1381.521985, C009, 6.564926
1601.650217, C009, 6.425838
89.480177, C010, 6.283753
95.975109, C010, 7.072682
214.782403, C010, 7.044891
383.00114, C010, 6.916955
638.751576, C010, 6.794808
771.298148, C010, 6.648063
1202.11198, C010, 6.243462
1401.306547, C010, 7.068068
82.535596, C011, 6.58301
345.930067, C011, 6.964675
346.329755, C011, 6.671918
586.092666, C011, 6.464729
1490.337075, C011, 6.769085
1693.928211, C011, 6.538521
65.64877300000001, C012, 6.312506
206.738679, C012, 8.21249
207.138367, C012, 7.539817
266.641936, C012, 6.372496
335.388293, C012, 7.085014
350.926168, C012, 6.746007
367.862953, C012, 6.292357
387.597553, C012, 7.665676
439.007438, C012, 6.219887
490.367361, C012, 5.83334
683.416723, C012, 6.215219
771.647875, C012, 5.804857
771.797758, C012, 5.758119
823.607331, C012, 5.785772
851.63546, C012, 5.672961
901.946202, C012, 5.729581
1055.326518, C012, 5.844941
1069.865174, C012, 6.450493
1070.964316, C012, 7.497618
1079.157922, C012, 8.649857
1148.403889, C012, 6.692543
1263.014457, C012, 6.059708
1293.540637, C012, 6.074016
1358.739762, C012, 6.181922
1489.537699, C012, 7.128284
1490.636841, C012, 6.008696
1552.788344, C012, 5.677306
1575.770411, C012, 5.679693
1601.100645, C012, 6.558743
452.646795, C013, 7.367195
603.379177, C013, 8.42878
606.376838, C013, 8.880198
840.943803, C013, 10.24247
1236.635041, C013, 6.875776
1623.383258, C013, 11.28453
668.428418, C014, 8.71681
988.778446, C014, 7.905406
3.247465, C015, 6.703931
91.72842300000001, C015, 6.69076
241.261741, C015, 6.613236
287.075991, C015, 7.134226
559.013796, C015, 7.208134
607.525941, C015, 6.672594
1240.182274, C015, 8.394665
1241.431299, C015, 7.69208
1311.226837, C015, 6.526788
1416.894383, C015, 7.132064
1643.917235, C015, 6.53223
250.454567, C017, 6.990275
431.513286, C017, 8.985268
838.545674, C017, 6.747869
1018.00564, C017, 9.385313
1064.469384, C017, 9.648664
1239.882507, C017, 7.280371
1443.273799, C017, 7.006273
1644.217001, C017, 7.413596
1695.027354, C017, 7.464216
60.702633, C018, 10.2729
66.647993, C018, 12.77515
99.122653, C018, 12.57812
100.92125, C018, 16.75163
116.808852, C018, 10.31697
165.520842, C018, 14.70571
166.270257, C018, 18.09475
171.266359, C018, 15.19404
171.765969, C018, 12.92492
288.225095, C018, 15.52004
288.824627, C018, 9.228418
289.47412, C018, 12.57756
291.022912, C018, 15.78296
321.349248, C018, 12.31203
409.130751, C018, 12.05426
410.329815, C018, 12.58137
421.121394, C018, 11.54677
591.438494, C018, 11.45433
649.992804, C018, 12.72573
653.639958, C018, 11.78097
653.989685, C018, 10.0478
688.66263, C018, 11.78009
693.209082, C018, 20.95033
693.858575, C018, 11.03221
724.8344039999999, C018, 12.03977
953.106282, C018, 10.8323
953.356087, C018, 18.78397
953.955619, C018, 10.04662
958.102383, C018, 19.31144
1107.186052, C018, 9.751678
1111.632582, C018, 10.86561
1234.286874, C018, 12.84112
1234.836445, C018, 17.03778
1311.126915, C018, 9.875592
1311.476642, C018, 10.50695
1405.253467, C018, 16.92167
1607.145928, C018, 11.84323
1697.525404, C018, 27.11787
1700.023455, C018, 22.82764
630.458047, C019, 11.35104
1066.018175, C019, 11.79616
934.970433, C023, 9.614765
1134.015117, C024, 22.47858
650.942063, C025, 7.845873
1524.51041, C025, 7.54997
1646.165481, C025, 7.762866
1646.415286, C025, 8.591562
457.243208, C028, 8.939558
1461.209804, C028, 8.221869
177.811252, C029, 7.223099
223.225814, C029, 7.65282
224.524801, C029, 6.62316
456.893481, C029, 9.84119
458.742039, C029, 8.854177
458.941883, C029, 12.56511
550.37054, C029, 7.477787
566.258143, C029, 6.290852
688.013136, C029, 10.37495
697.1560019999999, C029, 10.126
703.45109, C029, 6.215866
706.448751, C029, 7.976263
849.187371, C029, 7.51057
969.043845, C029, 8.698747
1005.965035, C029, 7.971326
1031.744919, C029, 6.3353
1146.105682, C029, 6.642108
1165.990166, C029, 6.462094
1308.229176, C029, 6.384566
1318.021535, C029, 6.604736
1362.886526, C029, 6.291971
1437.328438, C029, 9.369996
1640.569847, C029, 7.271179
241.361663, C030, 13.46694
1523.161462, C030, 11.95257
349.876987, C031, 11.20733
570.304985, C031, 14.09601
12.790019, C034, 9.335163
118.007917, C034, 6.970781
216.281233, C034, 10.73495
286.926108, C034, 9.919077
367.71307, C034, 11.93228
405.833324, C034, 7.108735
454.495352, C034, 7.476342
456.094105, C034, 7.623135
457.542974, C034, 6.292461
692.159901, C034, 7.154976
692.7594329999999, C034, 8.726782
777.643197, C034, 10.32106
813.365323, C034, 6.537567
814.164699, C034, 6.806776
815.813413, C034, 11.12211
850.786123, C034, 6.76302
863.726026, C034, 6.84058
939.816652, C034, 12.25763
940.71595, C034, 8.463764
1016.207044, C034, 7.092581
1016.706654, C034, 12.37627
1017.356147, C034, 10.79085
1114.930009, C034, 6.667221
1115.229775, C034, 8.112655
1115.579502, C034, 6.551752
1233.987108, C034, 6.489467
1496.182514, C034, 8.451321
1531.754757, C034, 7.878598
1532.803938, C034, 8.065222
1533.053743, C034, 6.836803
1533.753197, C034, 8.225307
1534.052963, C034, 7.530773
1536.201287, C034, 9.813465
1536.551014, C034, 10.23778
1552.788344, C034, 6.298848
1623.732985, C034, 6.797737
1624.4824, C034, 7.016581
1624.782167, C034, 6.360867
1625.331738, C034, 7.087923
1626.031192, C034, 6.721401
1.648713, C035, 10.99929
1040.388175, C035, 14.35859
36.671384, C040, 5.058138
143.887723, C040, 4.993582
165.970491, C040, 4.98271
166.819828, C040, 5.047097
168.918191, C040, 5.354624
182.107899, C040, 5.045208
192.549751, C040, 4.85968
227.572423, C040, 5.210276
247.556829, C040, 5.350398
273.586517, C040, 5.020555
287.02603, C040, 5.23844
314.304745, C040, 5.305912
331.191568, C040, 5.93621
332.140827, C040, 5.3597
396.990224, C040, 5.888567
403.135429, C040, 4.903039
430.064416, C040, 4.995656
452.446951, C040, 5.233067
458.941883, C040, 8.393948
467.635099, C040, 5.634198
475.02933, C040, 6.38251
487.619505, C040, 5.844397
614.520483, C040, 4.935008
614.6703659999999, C040, 5.380423
628.209801, C040, 5.23917
634.005279, C040, 5.063188
659.385475, C040, 5.279027
733.6275429999999, C040, 4.938918
754.8609740000001, C040, 5.05836
